Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
"Blue Termite",2015-08-20,"This threat actor is believed to have been responsible for the Japan Pension Service incident. It is also known as Emdivi and Cloudy Omega.","This threat actor targets Japanese entities in the government, manufacturing, finance, space, education, food, and medical sectors for espionage purposes.",,Japan,,Espionage,"Government, Private sector",https://web.archive.org/web/20160303010953/http://www.kaspersky.com/about/news/virus/2015/Blue-Termite-A-Sophisticated-Cyber-Espionage-Campaign-is-After-High-Profile-Japanese-Targets,http://www.symantec.com/connect/blogs/operation-cloudyomega-ichitaro-zero-day-and-ongoing-cyberespionage-campaign-targeting-japan,http://blog.trendmicro.com/trendlabs-security-intelligence/attackers-target-organizations-in-japan-transform-local-sites-into-cc-servers-for-emdivi-backdoor/
"Attempted compromise of the Dutch organization investigating the crash of flight MH17",2015-10-22,"Possibly attributed to APT 28","A threat actor attempted to compromise the networks of the Dutch Safety Board, the group charged with investigating the crash of Malaysia Airlines Flight 17, which crashed in Ukraine.",,"Dutch Safety Board","Russian Federation",Espionage,Government,http://blog.trendmicro.com/trendlabs-security-intelligence/pawn-storm-targets-mh17-investigation-team/,http://www.nu.nl/internet/4150895/hackers-vielen-onderzoeksraad-rond-publicatie-rapport-mh17.html,
"Compromise of networks in the Saudi government ministries",2015-05-21,"Believed to be the work of Saffron Rose","A threat actor compromised the networks of several Saudi government ministries for the purposes of espionage and doxing.",,"Ministry of Foreign Affairs, Ministry of the Interior, Ministry of Defense","Iran (Islamic Republic of)",Espionage,"Government, Military",http://en.farsnews.com/newstext.aspx?nn=13940231000544,https://www.buzzfeed.com/sheerafrenkel/who-is-the-yemen-cyber-army?utm_term=.jgnOjy5pK#.vmO93vWzl,http://motherboard.vice.com/read/theres-evidence-the-yemen-cyber-army-is-actually-iranian
"Compromise of social media accounts of State Department officials",2015-11-24,,"A threat actor compromised social media accounts of junior State Department staff to launch spear-phishing campaigns for espionage purposes.",,"U.S. Department of State","Iran (Islamic Republic of)",Espionage,Government,http://www.wsj.com/articles/u-s-detects-flurry-of-iranian-hacking-1446684754,http://www.nytimes.com/2015/11/25/world/middleeast/iran-hackers-cyberespionage-state-department-social-media.html,
"Compromise of the networks at the German parliament (Bundestag)",2015-05-29,"Believed to be the work of APT 28","A threat actor compromised the networks of the German parliament for the purpose of espionage.","Denouncement   http://www.reuters.com/article/us-germany-russia-cyber-idUSKCN0Y41FC",Bundestag,"Russian Federation",Espionage,Government,http://www.dw.com/en/data-stolen-during-hack-attack-on-german-parliament-berlin-says/a-18486900,http://www.reuters.com/article/us-germany-russia-cyber-idUSKCN0Y41FC,http://www.wsj.com/articles/german-parliament-struggles-to-purge-hackers-from-computer-network-1434127532
"Network compromise at the Australian Bureau of Meteorology",2015-12-01,,"A threat actor compromised the networks of Australia's Bureau of Meteorology for espionage purposes.",,"Bureau of Meteorology",China,Espionage,Government,http://www.abc.net.au/news/2015-12-02/china-blamed-for-cyber-attack-on-bureau-of-meteorology/6993278,http://www.reuters.com/article/us-australia-cyber-idUSKCN12C06J,https://www.acsc.gov.au/publications/ACSC_Threat_Report_2016.pdf
"Compromise of the Japanese pension system",2015-06-01,"Linked to Blue Termite","A threat actor compromised the networks of the Japan Pension Service and gained access to the pension records of over 1.25 million individuals.",,"Japan Pension Service",,Espionage,Government,http://www.reuters.com/article/us-japan-pensions-attacks-idUSKBN0OH1OP20150601,http://www.japantimes.co.jp/news/2015/06/01/national/crime-legal/japan-pension-system-hacked-1-25-million-cases-personal-data-leaked/#.Vw5ajfkrKUk,http://www.securityweek.com/blue-termite-apt-targets-japanese-organizations
"Compromise of a power grid in eastern Ukraine",2015-12-23,"Possible link to Black Energy","In December 2015, a threat actor compromised power distribution companies in western Ukraine, causing a power outage for more than 230,000 residents. Several control centers were targeted by suspected Russian hackers, who were able to siphon operator credentials and gain access to the power grid for the Ivano-Frankivsk region. The power outage lasted as long as six hours in some areas. During the outage, threat actors also flooded customer services phone lines with calls to prevent customers from reporting the incident.

The compromise of the Ukrainian power grid was an escalation from previous disruptive incidents and the first confirmed cyber operation to successfully take down energy infrastructure. The incident set an ominous precedent for the security of power grids around the world. The electricity distribution system in Ukraine was again targeted in 2016.","Denouncement   http://www.reuters.com/article/us-ukraine-cybersecurity-idUSKCN0VL18E","Prikarpattiaoblenergo Electric Company","Russian Federation",Sabotage,"Private sector",https://ics.sans.org/blog/2016/01/09/confirmation-of-a-coordinated-attack-on-the-ukrainian-power-grid,https://ics.sans.org/media/E-ISAC_SANS_Ukraine_DUC_5.pdf,https://www.wired.com/2016/03/inside-cunning-unprecedented-hack-ukraines-power-grid/
"Equation Group",2015-02-16,"Also known as Tilded Team, it is associated with Flame, Stuxnet, Regin, Gauss, and Duqu.","In 2015, Moscow-based Kaspersky Lab published a report on the Equation Group, a threat actor active since 2001 [PDF]. It was responsible for infecting approximately five hundred systems in at least forty-two countries. The malware used by Equation Group had the ability to reprogram hard drives and then self-destruct, which made the operations effectively invisible and indestructible. Targeted systems ranged from the private to the public sector, from energy departments to military operations to media outlets.

The tools and scope of the Equation Group suggest that it is one of the most sophisticated threat actors operating in cyberspace. Many believe that Equation Group is a state-sponsored entity, such as the U.S. National Security Agency or a joint effort between it and its Five Eyes allies.",,"Iran, Russia, Pakistan, Afghanistan, India, China, Syria, Mali, Lebanon, Yemen, Algeria, United Arab Emirates, Kenya, United Kingdom, Libya","United States",Espionage,"Government, Military",https://securelist.com/blog/research/68750/equation-the-death-star-of-malware-galaxy/,http://www.reuters.com/article/us-usa-cyberspying-idUSKBN0LK1QV20150216,http://arstechnica.com/security/2015/02/how-omnipotent-hackers-tied-to-the-nsa-hid-for-14-years-and-were-found-at-last/
"Compromise of a Pentagon legacy system",2015-06-04,"Suspected to be the work of the Dukes","A threat actor compromised a legacy unclassified network at the Department of Defense.","Denouncement   http://www.defense.gov/News/Transcripts/Transcript-View/Article/607043",Pentagon,"Russian Federation",Espionage,Military,http://www.defense.gov/News/Transcripts/Transcript-View/Article/607043,http://www.cnn.com/2015/04/23/politics/russian-hackers-pentagon-network/,https://fcw.com/Articles/2015/04/23/Carter-Russian-hack.aspx
"Compromise at the Office of Personnel Management",2015-07-10,"Suspected to be the work of Deep Panda","A threat actor compromised the networks of the U.S. Office of Personnel Management, exposing the data of at least 22.1 million people who have applied for a U.S. security clearance.","Unknown   http://www.nytimes.com/2015/08/01/world/asia/us-decides-to-retaliate-against-chinas-hacking.html?_r=0","Office of Personnel Management",China,Espionage,Government,http://www.nytimes.com/2014/07/10/world/asia/chinese-hackers-pursue-key-data-on-us-workers.html?_r=0,http://www.tripwire.com/state-of-security/security-data-protection/cyber-security/the-opm-breach-timeline-of-a-hack/,https://www.washingtonpost.com/news/federal-eye/wp/2015/07/09/hack-of-security-clearance-system-affected-21-5-million-people-federal-authorities-say/
Hellsing,2015-04-15,"Possibly uses the same infrastructure as Mirage","This threat actor uses spear-phishing techniques to compromise diplomatic targets in Southeast Asia, India, and the United States. It also seems to have targeted the APT 30.",,"Malaysia, Philippines, India, Indonesia, United States",China,Espionage,Government,https://securelist.com/analysis/publications/69567/the-chronicles-of-the-hellsing-apt-the-empire-strikes-back/,http://arstechnica.com/security/2015/04/elite-cyber-crime-group-strikes-back-after-attack-by-rival-apt-gang/,
"Compromise of an unclassified network associated with the U.S. Joint Chiefs of Staff",2015-07-28,"Believed to be the work of APT 28","A threat actor compromised an unclassified network used by the U.S. Joint Chiefs of Staff for espionage purposes.",,"Joint Chiefs of Staff","Russian Federation",Espionage,Military,http://www.cnn.com/2015/07/28/politics/pentagon-takes-computer-system-offline/,http://www.cnbc.com/2015/08/06/russia-hacks-pentagon-computers-nbc-citing-sources.html,http://www.wsj.com/articles/nsa-chief-says-cyberattack-at-pentagon-was-sophisticated-persistent-1441761541
"Compromise of Anthem",2015-02-06,"Believed to be the work of Deep Panda","A threat actor compromised a U.S. health insurance company, resulting in compromised personal data on eighty million customers.",,Anthem,China,Espionage,"Private sector",http://money.cnn.com/2015/02/04/technology/anthem-insurance-hack-data-security/,http://www.nytimes.com/2015/02/05/business/hackers-breached-data-of-millions-insurer-says.html,http://www.usatoday.com/story/tech/2015/02/04/health-care-anthem-hacked/22900925/
"Compromise of United Airlines",2015-07-29,"Suspected to be the work of Deep Panda","A threat actor compromised the network of United Airlines for espionage purposes, gaining access to flight manifests.",,"United Airlines",China,Espionage,"Private sector",https://web.archive.org/web/20170112223302/https://www.bloomberg.com/news/articles/2015-07-29/china-tied-hackers-that-hit-u-s-said-to-breach-united-airlines,https://www.sans.org/reading-room/whitepapers/breaches/united-airlines-2015-data-breach-suggested-near-mid-long-term-mitigating-actions-th-36452,
"Targeting of Ukrainian law enforcement and government officials",2015-03-13,,"A threat actor attempted to compromise Ukrainian officials in government and law enforcement for espionage purposes. Ukrainian intelligence claims this was done in support of Russian-backed military activities in eastern Ukraine.","Denouncement   http://www.sbu.gov.ua/sbu/control/en/publish/article?art_id=138949&amp;cat_id=35317",Ukraine,"Russian Federation",Espionage,"Military, Government",https://web.archive.org/web/20150319104801/http://www.sbu.gov.ua/sbu/control/en/publish/article?art_id=138949&cat_id=35317,,
"Compromise of the Seoul subway system",2015-10-05,"Believed to be the work of the same actors behind Dark Seoul and possibly linked to Onion Dog","A threat actor compromised networks associated with Seoul's subway system.","Denouncement   http://www.koreaherald.com/view.php?ud=20151005001125","Seoul Subway System","Korea (Democratic People's Republic of)",Espionage,Government,http://www.koreaherald.com/view.php?ud=20151005001125,,
"Disruption of GitHub",2015-03-27,,"A threat actor launched a denial of service attack against GitHub to prevent access to internet content banned in China, such as the New York Times. The incident was the first in which threat actors, believed to be associated with the government of China, used a tool dubbed the Great Cannon.",,GitHub,China,"Denial of service","Private sector",http://arstechnica.com/security/2015/04/ddos-attacks-that-crippled-github-linked-to-great-firewall-of-china/,https://citizenlab.org/2015/04/chinas-great-cannon/,http://www.techrepublic.com/article/chinese-government-linked-to-largest-ddos-attack-in-github-history/
"Black Energy",2014-11-03,"Also known as Sandworm, Voodoo Bear, and Electrum. Believed to be responsible for the 2008 DDoS attacks in Georgia and the 2015 Ukraine power grid outage. Code used by this threat actor was also found in the alleged Russian compromise of networking equipment. There is possible overlap between Black Energy and the threat actor behind the compromise of the 2018 Winter Olympics.","This threat actor targets industrial control systems, using a tool called Black Energy, associated with electricity and power generation for espionage, denial of service, and data destruction purposes. Some believe that the threat actor is linked to the 2015 compromise of the Ukrainian electrical grid and a distributed denial of service prior to the Russian invasion of Georgia. 

In 2018, Germany’s domestic intelligence agency released a technical alert about this threat actor, and the United Kingdom attributed the actor to Russian military intelligence.",,"Russia, Ukraine, Poland, Lithuania, Belarus, Azerbaijan, Kyrgyzstan, Kazakhstan, Iran, Israel, Georgia","Russian Federation",Espionage,"Private sector, Government",https://securelist.com/blog/research/67353/be2-custom-plugins-router-abuse-and-target-profiles/,https://www.isightpartners.com/2016/01/ukraine-and-sandworm-team/,https://www.wired.com/2014/10/russian-sandworm-hack-isight/
Newscaster,2014-05-28,"Also known as Charming Kitten and Group 83. Possibly linked to Rocket Kitten","This threat actor uses watering hole attacks and fake profiles to lure targets from the U.S. government for espionage purposes. Also believed to target scholars who study Iran, human rights organizations, and the media. At least one cybersecurity company claims that Behzah Mesri, who was indicted by the U.S. Department of Justice for compromising the networks of HBO, was a member of this threat actor group",,"U.S. government/defense sector websites, Israel, United Kingdom, Saudi Arabia, Iraq","Iran (Islamic Republic of)",Espionage,"Government, Military",http://go.crowdstrike.com/rs/281-OBQ-266/images/ReportGlobalThreatIntelligence.pdf,https://www.washingtonpost.com/world/national-security/iranian-hackers-are-targeting-us-officials-through-social-networks-report-says/2014/05/28/7cb86672-e6ad-11e3-8f90-73e071f3d637_story.html,
"APT 18",2014-09-02,"Also known as Dynamite Panda and TG-0416","This threat actor targets human rights groups, government entities, and companies in the pharmaceutical, medical, industrial, and information technology sectors.",,"United States",China,Espionage,"Government, Private sector, Civil society",https://www.secureworks.com/blog/where-you-at-indicators-of-lateral-movement-using-at-exe-on-windows-7-systems,https://researchcenter.paloaltonetworks.com/2016/05/unit42-new-wekby-attacks-use-dns-requests-as-command-and-control-mechanism/,
"Compromise of Community Health Systems",2014-09-08,"Believed to be the work of APT 18","Community Health Systems, a large hospital group in the United States, announced that its computer networks  were compromised, leading to the exfiltration of Social Security numbers and other personal information of approximately 4.5 million people to China.",,"Community Health Systems",China,Espionage,"Private sector",https://www.reuters.com/article/us-community-health-cybersecurity/community-health-says-data-stolen-in-cyber-attack-from-china-idUSKBN0GI16N20140818,https://threatpost.com/apt-gang-branches-out-to-medical-espionage-in-community-health-breach/107828/,
"Crouching Yeti",2014-07-31,"Also known as Energetic Bear, Dragonfly, Group 24, and Koala Team. Possibly associated with Allanite and Dymalloy. Believed to be behind the targeting of critical infrastructure entities in the United States and Germany, prompting both countries to issue technical alerts","This threat actor targets companies in the education, energy, construction, information technology, and pharmaceutical sectors for the purposes of espionage. It uses malware tailored to target industrial control systems.",,"United States, Spain, Japan, Germany, France, Italy, Turkey, Ireland, Poland, China, Russia, Ukraine, United Kingdom, Greece","Russian Federation",Espionage,"Private sector, Government",https://cdn.securelist.com/files/2014/07/EB-YetiJuly2014-Public.pdf,http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/Dragonfly_Threat_Against_Western_Energy_Suppliers.pdf,http://www.reuters.com/article/us-cybersecurity-energeticbear-idUSKBN0F722V20140702
DragonOK,2014-09-10,"Uses similar tools as Moafee and Rancor, possibly indicating a link between the threat actors","This threat actor targets high-tech and manufacturing companies, primarily from Japan, for the purpose of acquiring trade secrets. In 2017, cybersecurity firms released evidence pointing to the threat actor expanding its targets to Russian and Tibetan interests.",,"Japan, Taiwan, Russia",China,Espionage,"Private sector",https://web.archive.org/web/20140914215115/http://www.fireeye.com:80/blog/technical/targeted-attack/2014/09/the-path-to-mass-producing-cyber-attacks.html,https://researchcenter.paloaltonetworks.com/2017/01/unit42-dragonok-updates-toolset-targets-multiple-geographic-regions/,
"Compromise of U.S. Transportation Command Contractors",2014-09-17,,"A threat actor successfully compromises the networks of contractors for U.S. Transportation Command (TRANSCOM), a military command assigned with moving U.S. military personnel and assets around the world. ","Denouncement   https://www.armed-services.senate.gov/press-releases/sasc-investigation-finds-chinese-intrusions-into-key-defense-contractors","Contractors of U.S. Transportation Command",China,Espionage,"Military, Private sector",https://www.armed-services.senate.gov/press-releases/sasc-investigation-finds-chinese-intrusions-into-key-defense-contractors,,
Turla,2014-08-07,"Turla is also known as Snake, Venomous Bear, Uroburos, Group 88, Waterbug, and Turla Team. Estonian intelligence services associate this group with the Russian federal security service (FSB). Turla is associated with Agent.btz and believed to be behind the RUAG espionage incident, an attempted compromise of the Swiss defense ministry, the targeting of diplomatic missions in Eastern Europe, the targeting of South Korean actors prior to the meeting of U.S. President Donald J. Trump and North Korean leader Kim Jong-un, and the compromise of the German and Finnish foreign ministries. ","This threat actor targets governments, militaries, and research organizations for espionage purposes. ",,"France, Russia, Belarus, Romania, United States, Netherlands, Kazakhstan, Saudi Arabia, Iran, Poland, Germany, Uzbekistan, Tajikistan, India, Iraq","Russian Federation",Espionage,"Government, Military",https://securelist.com/analysis/publications/65545/the-epic-turla-operation/,https://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/waterbug-attack-group.pdf,https://www.washingtonpost.com/world/national-security/russian-hacker-group-exploits-satellites-to-steal-data-hide-tracks/2015/09/08/c59fa7cc-5657-11e5-b8c9-944725fcd3b9_story.html
Moafee,2014-09-10,"Uses similar tools as DragonOK, possibly indicating a link between the two","This threat actor targets militaries and governments interested in the South China Sea, including the U.S. defense industrial base.",,"United States",China,Espionage,"Private sector",https://web.archive.org/web/20140914215115/http://www.fireeye.com:80/blog/technical/targeted-attack/2014/09/the-path-to-mass-producing-cyber-attacks.html,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-operation-quantum-entanglement.pdf,
"Compromise of Sony Pictures Entertainment",2014-12-03,"Believed to be the work of the Lazarus Group","Threat actors compromised the networks of Sony Pictures Entertainment, destroyed data, and publicly released employee emails. The United States attributed the incident to North Korea, which is believed to have staged the attack to prevent Sony from releasing the film The Interview, which depicts an assassination plot against North Korean leader Kim Jong-un.

The compromise of Sony Pictures was the first cyber incident to be formally condemned by a U.S. president. The incident also prompted the United States to sanction certain North Korean individuals and organizations, denying them access to U.S. financial institutions.

In September 2018, the U.S. Department of Justice announced criminal charges alleging that North Korean entities were responsible for this incident.","Sanctions   https://www.whitehouse.gov/the-press-office/2015/01/02/executive-order-imposing-additional-sanctions-respect-north-korea","Sony Pictures Entertainment","Korea (Democratic People's Republic of)",Doxing,"Private sector",https://www.wired.com/2014/12/sony-hack-what-we-know/,http://www.nytimes.com/2015/01/19/world/asia/nsa-tapped-into-north-korean-networks-before-sony-attack-officials-say.html?_r=0,https://www.justice.gov/opa/press-release/file/1092091/download
Axiom,2014-09-24,"Also known as Winnti Group. Believed to be associated with Winnti Umbrella","This threat actor compromises a range of actors of espionage purposes, namely government agencies in Asia and the West, circuit manufacturers, networking equipment manufacturers, internet companies, software vendors, journalists, nongovernmental organizations, law firms, telecommunication firms, venture capitalists, and academic institutions.",,"United States, United Kingdom, Germany, Netherlands, Belgium, Switzerland, Italy, Russia, China, Japan, Indonesia",China,Espionage,"Government, Private sector",http://www.novetta.com/wp-content/uploads/2014/11/Executive_Summary-Final_1.pdf,http://kasperskycontenthub.com/wp-content/uploads/sites/43/vlpdfs/winnti-more-than-just-a-game-130410.pdf,
"APT 28",2014-10-28,"Also known as Pawn Storm, Fancy Bear, Sofacy, Tsar Team, Strontium, and Sednit. Estonian and British intelligence services associate this group with Russian military intelligence (GRU). The United States believes that GRU units 26165 and 74455 form a part of this threat actor. 

Suspected to be behind the Democratic National Committee compromise, the 2015 compromise of networks of the German Bundestag, the 2015 TV5 Monde incident, the UK TV station incident, the hacking of a Ukrainian military mobile app, the compromise of the World Anti-Doping Agency, the compromise of numerous sports federations, the attempted compromise of Bellingcat, the Bad Rabbit incident, the targeting of European foreign ministries and defense agencies, the targeting of campaigns for the 2018 U.S. midterm elections, the targeting of the office of Senator Claire McCaskill, the targeting of the OPCW, and the compromise of U.S. Anti-Doping Agency, the Court of Arbitration for Sport, the Canadian Centre for Ethics in Sport, FIFA, and Westinghouse. ","This threat actor is linked to espionage campaigns, high-profile doxing efforts, and disruptive incidents that compromised targets believed to be of interest to the Russian government.","Denouncement   https://www.us-cert.gov/sites/default/files/publications/JAR_16-20296A_GRIZZLY%20STEPPE-2016-1229.pdf","Georgia, NATO, OSCE, France, Ukraine, United Kingdom, Jordan, Belgium, Germany, United States, Pakistan, Poland, Hungary, Asia Pacific Economic Cooperation, European Commission, World Anti-Doping Agency, International Association of Athletics Federations, Afghanistan, Armenia, Turkey, Kazakhstan, Tajikistan, Mongolia, China, Japan, Canada, Organization for the Prohibition of Chemical Weapons, Court of Arbitration for Sport, Federation Internationale de Football Association","Russian Federation",,"Government, Military, Private sector",https://www2.fireeye.com/rs/fireye/images/rpt-apt28.pdf,https://www.fireeye.com/blog/threat-research/2017/08/apt28-targets-hospitality-sector.html,http://www.trendmicro.com/cloud-content/us/pdfs/security-intelligence/white-papers/wp-operation-pawn-storm.pdf
Snowglobe,2014-03-21,"Animal Farm","A threat actor, confirmed to be the French government, that targets governments, companies, media organizations, military contractors, and humanitarian organizations.",,"Syria, Iran, Malaysia, United States, China, Turkey, Netherlands, Germany, United Kingdom, Russia, Algeria, Ivory Coast, Spain, Norway, Greece",France,Espionage,"Government, Private sector",http://www.lemonde.fr/international/article/2014/03/21/quand-les-canadiens-partent-en-chasse-de-babar_4387233_3210.html,https://apt.securelist.com/#secondPage/attack=33,http://blogs.cfr.org/cyber/2016/09/15/shouting-at-americans-a-peek-into-french-signals-intelligence/
"Compromise of iCloud in China",2014-10-21,,"A threat actor compromised Apple's iCloud service in China and intercepted user names and passwords of targeted iCloud users.",,"Apple iCloud in China",China,Espionage,"Private sector",https://en.greatfire.org/blog/2014/oct/china-collecting-apple-icloud-data-attack-coincides-launch-new-iphone,http://www.netresec.com/?page=Blog&month=2014-10&post=Chinese-MITM-Attack-on-iCloud,https://www.washingtonpost.com/news/the-switch/wp/2014/10/21/apples-icloud-service-suffers-cyber-attack-in-china-putting-passwords-in-peril/
"Saffron Rose",2014-05-12,"Also known as Flying Kitten, Sayad, Ajax Security Team, and Group 26","This threat actor is focused on espionage and targets companies within the U.S. defense industrial base and Iranians who use anticensorship technology.",,"United States, Iranian internet activists","Iran (Islamic Republic of)",Espionage,"Military, Civil society",https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-operation-saffron-rose.pdf,https://www.crowdstrike.com/blog/cat-scratch-fever-crowdstrike-tracks-newly-reported-iranian-actor-flying-kitten/index.html,https://www.nccgroup.trust/uk/about-us/newsroom-and-events/blogs/2014/july/a-new-flying-kitten/
"Compromise of the U.S. State Department",2014-10-28,"Believed to be the work of the Dukes","A threat actor compromised the unclassified network of the State Department for espionage purposes.",,"U.S. Department of State","Russian Federation",Espionage,Government,http://www.reuters.com/article/us-cybersecurity-statedept-idUSKCN0J11BR20141117,http://www.nextgov.com/cybersecurity/2014/11/state-department-hacked-same-time-white-house/99131/,http://www.bbc.com/news/technology-29817644
Darkhotel,2014-11-10,"Also known as Tapaoux, Pioneer, Karba, and Nemim","This threat actor targets multiple private sector entities, law enforcement organizations, and militaries in East Asia for espionage purposes.",,"Japan, Taiwan, China, Russia, South Korea","Korea (Republic of)",Espionage,"Private sector",https://securelist.com/files/2014/11/darkhotel_kl_07.11.pdf,http://www.wired.com/2014/11/darkhotel-malware/,
"Compromise of the U.S. Postal Service",2014-11-09,,"A threat actor compromised the networks of the U.S. Postal Service and gained access to employee data.",,"U.S. Postal Service",China,Espionage,Government,http://about.usps.com/news/testimony/2014/pr14_day1119a.pdf,http://www.washingtonpost.com/blogs/federal-eye/wp/2014/11/10/china-suspected-of-breaching-u-s-postal-service-computer-networks/,http://www.wsj.com/articles/u-s-postal-service-says-it-was-victim-of-data-breach-1415632126
Regin,2014-11-24,"Believed to be the work of the Equation Group","A threat actor, using a tool dubbed Regin, compromised telecommunications networks and collected information about how those networks operate to facilitate espionage on other targets such as governments, financial institutions, and academics.",,"Algeria, Afghanistan, Belgium, Brazil, Fiji, Germany, Iran, India, Indonesia, Kiribati, Malaysia, Pakistan, Syria, Russia","United Kingdom, United States",Espionage,"Government, Private sector",https://securelist.com/blog/research/67741/regin-nation-state-ownage-of-gsm-networks/,http://www.spiegel.de/international/world/regin-malware-unmasked-as-nsa-tool-after-spiegel-publishes-source-code-a-1015255.html,http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/regin-analysis.pdf
"Putter Panda",2014-06-10,"Also known as APT 2, PLA Unit 61486, and TG-6952","This threat actor targets firms in the technology (communications, space, aerospace), research, defense, and government sectors in the United States for espionage purposes. The tools and infrastructure it uses overlap with PLA Unit 61398.",,"U.S. satellite and aerospace sector",China,Espionage,"Private sector, Government",http://cdn0.vox-cdn.com/assets/4589853/crowdstrike-intelligence-report-putter-panda.original.pdf,https://www.crowdstrike.com/blog/hat-tribution-pla-unit-61486/,http://motherboard.vice.com/read/chinas-putter-panda-cyber-spies-have-been-hacking-the-us-aerospace-industry
"Compromise of the U.S. National Oceanic and Atmospheric Administration",2014-11-12,,"Threat actors accessed weather network data",,"National Oceanic and Atmospheric Agency",China,Espionage,Government,https://www.washingtonpost.com/local/chinese-hack-us-weather-systems-satellite-network/2014/11/12/bef1206a-68e9-11e4-b053-65cea7903f2e_story.html,https://www.washingtonpost.com/blogs/capital-weather-gang/wp/2014/10/22/weather-service-stops-receiving-satellite-data-issues-warning-about-forecast-reliability/,
"Operation Cleaver",2014-12-02,"Also known as Cutting Kitten and Group 41","This threat actor targets governments and private sector entities for espionage and sabotage purposes. It is believed to be responsible for compromising U.S. Navy computers at the Navy Marine Corps Intranet in San Diego, the U.S. energy company Calpine Corporation, Saudi Aramco, Pemex, Qatar Airways, and Korean Air (http://www.reuters.com/article/2014/12/02/us-cybersecurity-iran-idUSKCN…)",,"Canada, China, United Kingdom, France, Germany, India, Israel, United States, Kuwait, Mexico, Pakistan, Qatar, Saudi Arabia, South Korea, Turkey","Iran (Islamic Republic of)",Espionage,"Private sector, Government",https://cdn2.hubspot.net/hubfs/270968/assets/Cleaver/Cylance_Operation_Cleaver_Report.pdf,https://www.crowdstrike.com/blog/whois-clever-kitten/,https://www.secureworks.com/research/suspected-iran-based-hacker-group-creates-network-of-fake-linkedin-profiles
"Lotus Blossom",2014-07-28,"Also known as Spring Dragon and Eslie","This threat actor compromises government and military targets in Hong Kong, Japan, Taiwan, Vietnam, the Philippines, and Indonesia for espionage purposes.",,"Japan, Hong Kong, Taiwan, Philippines, Indonesia, Vietnam",China,Espionage,"Military, Government",http://researchcenter.paloaltonetworks.com/2015/06/operation-lotus-blossom/,https://securelist.com/spring-dragon-updated-activity/79067/,http://www.trendmicro.com.my/vinfo/my/security/news/cyber-attacks/esile-targeted-attack-campaign-hits-apac-governments
"Attempted compromise of Ukrainian email accounts",2014-12-09,,"A threat actor attempted to compromise email accounts in Ukraine for espionage purposes.","Denouncement   http://www.sbu.gov.ua/sbu/control/en/publish/article?art_id=138949&amp;cat_id=35317",Ukraine,"Russian Federation",Espionage,"Government, Military",https://web.archive.org/web/20150502195833/http://www.sbu.gov.ua:80/sbu/control/en/publish/article?art_id=131264&cat_id=131098,,
"Cloud Atlas",2014-12-10,"Believed to be the same threat actor as Red October","This threat actor targets governments and diplomatic organizations for espionage purposes.",,"Russia, Kazakhstan, Belarus, India, Czech Republic","Russian Federation",Espionage,Government,https://securelist.com/blog/research/68083/cloud-atlas-redoctober-apt-is-back-in-style/,,
"Compromise of the Sands Casino",2014-12-12,,"Threat actors launched a denial of service attack and wiped data from the computer networks at the Sands Casino in Las Vegas.","Denouncement   http://www.bloomberg.com/news/articles/2015-02-26/iran-behind-cyber-attack-on-adelson-s-sands-corp-clapper-says","Las Vegas Sands Corporation","Iran (Islamic Republic of)","Data destruction","Private sector",https://web.archive.org/web/20170518141232/https://www.bloomberg.com/news/articles/2014-12-11/nuke-remark-stirred-hack-on-sands-casinos-that-foreshadowed-sony,http://www.bloomberg.com/news/articles/2014-12-11/iranian-hackers-hit-sheldon-adelsons-sands-casino-in-las-vegas,
"Indictment of PLA officers",2014-05-19,,"In May 2014, the U.S. Department of Justice indicted five members of the People’s Liberation Army (PLA) Unit 61398, a Chinese army unit dedicated to cyber espionage. According to the Department of Justice, Unit 61398 compromised U.S. corporate networks for trade information potentially useful to Chinese state-owned enterprises.

The PLA indictments were the most direct confrontation to date between Washington and Beijing regarding Chinese government sponsorship of hacking groups. It was the first time that the U.S. Department of Justice indicted state-sponsored actors, and was part of a broader effort by the United States to halt China’s cyber industrial espionage programs and define an international norm against cyber espionage for commercial gain.","Criminal charges   https://www.justice.gov/opa/pr/us-charges-five-chinese-military-hackers-cyber-espionage-against-us-corporations-and-labor","Westinghouse, Solar World, U.S. Steel, ATI, USW, Alcoa",China,Espionage,"Private sector",https://www.justice.gov/opa/pr/us-charges-five-chinese-military-hackers-cyber-espionage-against-us-corporations-and-labor,,
